Block Number,Proposer ID,Builder ID,Winning Bid Value,Winning Block Value,Reward,Builder ID 1 Bid,Builder ID 2 Bid,Builder ID 3 Bid,Builder ID 4 Bid,Builder ID 5 Bid,Builder ID 10 Bid,Builder ID 30 Bid,Builder ID 50 Bid,Builder ID 70 Bid,Builder ID 90 Bid,Builder ID 1 Block Value,Builder ID 2 Block Value,Builder ID 3 Block Value,Builder ID 4 Block Value,Builder ID 5 Block Value,Builder ID 10 Block Value,Builder ID 30 Block Value,Builder ID 50 Block Value,Builder ID 70 Block Value,Builder ID 90 Block Value
19,3,3,448.864,448.864,448.864,0,0,0,0,0,0,0,0,0,0,403.86,298.396,448.864,394.813,525.982,488.935,433.882,647.295,521.519,560.479
20,10,10,539.25,539.25,539.25,0,0,0,0,0,0,0,0,0,0,430.686,383.387,679.546,350.545,506.812,539.25,489.349,552.067,552.856,679.301
21,1,1,493.786,493.786,493.786,0,0,0,0,0,0,0,0,0,0,493.786,312.592,678.339,389.013,517.538,614.394,560.112,482.097,587.884,672.897
22,5,5,641.244,641.244,641.244,0,0,0,0,0,0,0,0,0,0,333.163,451.409,496.784,293.953,641.244,537.961,471.391,587.898,573.843,644.788
23,1,1,226.071,226.071,226.071,0,0,0,0,0,0,0,0,0,0,226.071,233.335,367.582,330.129,326.166,341.23,337.925,476.524,503.976,391.847
24,3,3,417.794,417.794,417.794,0,0,0,0,0,0,0,0,0,0,241.214,262.597,417.794,289.242,572.602,495.392,384.909,536.898,539.458,528.791
25,5,5,488.679,488.679,488.679,0,0,0,0,0,0,0,0,0,0,327.939,317.799,574.004,230.078,488.679,535.724,508.91,560.829,518.911,662.561
26,2,2,332.269,332.269,332.269,0,0,0,0,0,0,0,0,0,0,301.058,332.269,591.62,443.452,398.779,400.988,572.967,576.095,502.893,592.071
27,3,3,712.429,712.429,712.429,0,0,0,0,703.136,0,0,0,0,0,485.099,622.565,712.429,587.517,758.272,443.375,668.401,635.692,589.81,641.029
28,30,30,500.383,500.383,500.383,0,0,0,0,0,0,0,0,0,0,329.651,576.18,649.48,430.079,657.189,456.292,500.383,661.596,550.206,631.552
29,10,70,799.778,815.557,15.7784,0,0,0,0,703.116,0,0,0,799.778,0,566.132,628.046,782.68,299.399,764.232,653.705,560.496,698.124,815.557,627.33
30,70,70,774.308,774.308,774.308,0,0,0,0,703.111,0,0,0,0,0,677.158,516.76,726.122,705.167,848.222,627.064,497.546,518.33,774.308,741.577
31,4,4,593.887,593.887,593.887,0,0,0,0,0,0,0,0,0,0,456.304,401.73,767.735,593.887,690.45,519.326,571.199,560.158,506.714,694.383
32,5,5,447.585,447.585,447.585,0,0,0,0,0,0,0,0,0,0,443.265,360.36,546.134,347.396,447.585,457.916,458.57,407.299,532.935,476.853
33,2,50,447.938,515.876,67.9378,0,0,0,0,0,0,0,447.938,0,0,402.05,309.603,435.813,363.376,572.898,457.351,485.434,515.876,513.365,554.764
34,4,4,466.499,466.499,466.499,448,0,0,0,0,0,0,448.312,0,448.544,470,312.265,565.333,466.499,508.882,544.718,479.203,564.625,613.275,513.088
35,50,50,609.229,609.229,609.229,0,0,467.093,0,0,466.67,0,447.614,0,448.498,323.646,388.985,604.185,248.537,641.265,581.339,601.836,609.229,738.609,492.996
36,50,50,747.674,747.674,747.674,448.267,466.988,466.558,610.092,703.662,466.6,610.058,447.837,609.627,448.884,678.535,635.976,661.117,832.184,765.325,871.2,798.116,747.674,861.254,737.768
37,1,70,609.774,643.548,33.7739,448.39,467.342,467.442,0,0,467.128,609.368,447.653,609.774,448.472,506.779,620.684,664.883,554.874,634.553,630.257,638.736,639.306,643.548,620.943
38,50,50,619.129,619.129,619.129,0,0,467.258,0,0,467.375,0,448.564,609.73,448.333,332.558,461.523,520.515,435.579,622.288,548.749,544.564,619.129,731.46,674.666
39,5,5,722.816,722.816,722.816,0,0,0,0,619.408,467.079,0,448.337,610.09,619.816,379.484,462.223,401.285,514.571,722.816,476.159,543.182,656.673,674.18,767.633
40,10,90,619.806,769.613,149.806,0,0,0,0,0,0,609.998,447.916,0,619.806,304.947,310.001,429.957,318.776,522.926,499.552,625.995,491.831,565.829,769.613
41,70,70,596.181,596.181,596.181,0,0,0,0,0,0,0,448.2,0,0,306.413,307.514,378.829,169.035,478.088,455.718,399.612,466.399,596.181,541.026
42,70,5,619.662,621.325,1.66234,0,0,0,0,619.662,0,0,0,0,0,175.972,160.739,317.426,209.529,621.325,342.087,370.012,340.301,413.742,390.867
43,5,5,341.552,341.552,341.552,0,0,0,0,0,0,0,0,0,0,239.532,285.047,318.49,249.614,341.552,367.842,345.664,459.906,442.281,435.408
44,1,1,362.823,362.823,362.823,0,0,0,0,0,0,0,341.91,0,0,362.823,297.266,448.546,202.111,516.785,560.057,368.644,449.819,452.142,421.153
45,70,90,596.306,610.612,14.3059,0,0,0,0,0,0,0,342.465,363.108,596.306,110.829,313.912,400.874,299.775,403.908,504.588,409.463,634.93,444.215,610.612
46,2,2,369.243,369.243,369.243,0,0,0,0,0,0,0,342.238,363.069,0,110.944,369.243,559.618,174.39,471.005,447.711,271.469,620.476,366.139,422.867
47,3,3,497.672,497.672,497.672,0,0,0,0,370.201,0,0,341.791,363.36,0,246.125,302.325,497.672,296.518,428.403,332.669,495.086,541.582,534.721,382.825
48,70,70,635.626,635.626,635.626,0,0,0,0,370.194,0,0,341.971,363.813,0,450.589,347.848,548.189,440.423,660.389,534.486,526.208,499.941,635.626,491.583
49,90,90,382.704,382.704,382.704,0,0,0,0,0,0,0,341.813,363.762,0,265.468,321.067,589.757,414.679,464.903,376.976,377.997,443.626,507.523,382.704
50,2,2,658.738,658.738,658.738,0,596.369,596.36,619.664,0,596.926,0,342.159,363.037,596.969,327.618,658.738,730.719,735.328,550.32,679.851,461.703,622.318,568.074,645.939
51,4,5,635.722,639.444,3.72198,0,0,596.209,0,635.722,596.612,0,342.019,435.745,596.226,385.26,505.387,724.417,431.853,639.444,719.224,556.832,660.038,871.49,640.453
52,3,3,807.147,807.147,807.147,0,597.058,596.574,0,635.922,597.106,0,342.109,433.887,596.402,443.518,626.116,807.147,312.043,725.844,718.211,596.235,562.217,867.774,660.805
53,2,2,429.929,429.929,429.929,0,0,0,0,0,0,0,342.401,363.427,0,608.037,429.929,581.105,596.31,616.766,516.835,612.322,564.802,618.854,513.449
54,2,1,620.189,674.378,54.189,620.189,0,0,0,0,0,620.166,342.515,363.699,596.512,674.378,330.471,581.059,523.63,607.813,464.571,690.333,529.029,629.399,691.024
55,3,3,376.5,376.5,376.5,0,0,0,0,0,0,0,341.763,362.936,0,337.223,201.01,376.5,363.061,365.857,462.468,441.677,431.526,529.872,496.84
56,1,50,399.971,799.942,399.971,0,0,0,0,0,0,0,399.971,362.888,0,385.386,420.116,520.341,319.73,556.552,458.305,409.334,799.942,543.776,591.589
57,90,90,520.202,520.202,520.202,0,0,0,0,0,0,0,341.668,363.59,0,358.651,398.061,472.387,291.154,443.726,557.283,444.447,557.336,619.179,520.202
58,90,70,363.491,530.983,167.491,0,0,0,0,0,0,0,342.551,363.491,0,124.585,152.835,326.739,293.561,406.934,452.512,307.126,431.101,530.983,306.21
59,90,90,657.288,657.288,657.288,0,0,596.726,0,636.537,597.143,0,341.699,362.99,596.644,338.909,233.91,617.453,319.378,739.074,704.285,414.554,557.397,477.98,657.288
60,3,3,479.264,479.264,479.264,0,0,0,0,0,0,0,342.3,362.846,0,229.721,318.534,479.264,224.667,456.184,537.151,552.938,466.601,597.692,551.082
61,70,70,610.865,610.865,610.865,0,0,0,0,0,0,0,342.351,363.432,0,445.081,271.53,488.402,256.937,536.983,452.572,446.461,552.702,610.865,515.53
62,70,70,464.274,464.274,464.274,0,0,0,0,0,0,0,342.326,363.137,0,308.642,441.128,484.375,259.619,546.413,313.404,327.203,534.652,464.274,454.198
63,70,70,474.044,474.044,474.044,0,0,0,0,0,0,0,342.092,363.022,0,312.504,500.671,553.667,312.174,492.361,458.561,361.608,660.184,474.044,469.394
64,30,30,365.415,365.415,365.415,0,0,0,0,0,0,0,341.616,363.095,0,262.521,464.758,551.636,267.475,441.209,503.331,365.415,567.231,498.19,404.834
65,2,3,596.866,691.732,94.866,0,0,596.866,0,0,596.601,0,342.318,411.73,596.209,332.972,312.7,691.732,227.635,501.85,745.201,339.126,536.635,823.46,660.419
66,4,10,597.788,621.577,23.7885,0,0,0,0,0,597.789,0,342.008,363.423,0,296.411,397.078,564.584,124.745,608.604,621.577,531.063,472.016,658.846,577.853
67,1,1,370.938,370.938,370.938,0,0,0,0,0,0,0,342.197,363.07,0,370.938,256.388,549.841,267.89,561.08,427.135,442.398,488.394,538.14,555.43
68,70,5,636.242,692.484,56.2418,0,0,596.432,0,636.242,0,0,342.315,363.328,596.703,332.356,426.544,622.863,245.414,692.484,580.589,307.947,618.631,548.657,691.406
69,50,50,612.596,612.596,612.596,0,0,596.656,0,0,0,371.726,0,363.265,0,395.033,212.886,647.311,408.373,544.423,534.798,449.452,612.596,424.53,497.044
70,90,90,535.753,535.753,535.753,0,0,0,0,0,0,371.061,0,363.009,0,159.106,231.647,382.478,236.345,402.217,497.002,410.121,542.897,582.018,535.753
71,1,3,535.895,681.79,145.895,0,0,535.895,0,0,0,370.977,0,362.872,0,305.961,487.054,681.79,216.406,601.537,557.59,445.953,508.239,661.745,556.468
72,4,70,362.874,481.747,118.874,0,0,0,0,0,0,0,0,362.874,0,235.708,358.988,410.388,201.582,451.195,438.898,348.486,396.138,481.747,552.637
73,90,90,451.286,451.286,451.286,0,0,0,0,0,0,0,0,363.167,0,195.398,181.883,530.427,166.73,331.873,339.11,327.584,433.125,390.333,451.286
74,90,3,536.391,584.781,48.3905,0,0,536.391,0,0,0,0,0,362.844,0,271.418,213.087,584.781,178.256,582.339,489.355,347.79,576.641,587.688,453.958
75,4,90,613.245,654.489,41.2447,0,0,0,0,537.203,0,371.316,0,0,613.245,347.692,386.452,529.422,167.685,624.406,509.007,478.632,563.28,409.875,654.489
76,3,3,375.435,375.435,375.435,0,0,0,0,0,0,0,0,0,0,253.961,209.951,375.435,89.9684,513.476,352.827,229.766,418.02,458.252,479.393
77,30,30,341.224,341.224,341.224,0,0,0,0,0,0,0,0,0,0,224.823,232.248,301.463,84.9483,347.395,374.122,341.224,441.759,472.717,485.688
78,90,90,473.574,473.574,473.574,0,0,0,0,0,0,371.375,0,0,0,286.434,296.684,307.051,119.838,484.414,476.075,442.75,514.053,476.148,473.574
79,5,5,334.273,334.273,334.273,0,0,0,0,0,0,0,0,0,0,176.205,207.67,314.925,109.202,334.273,282.666,220.096,372.065,316.911,377.116
80,50,50,324.049,324.049,324.049,0,0,0,0,0,0,0,0,0,0,187.58,229.82,397.098,244.404,273.43,337.818,234.734,324.049,340.526,408.289
81,1,1,426.665,426.665,426.665,0,0,0,0,0,0,0,0,0,0,426.665,376.898,513.829,297.452,413.636,432.163,306.736,379.194,466.704,493.63
82,10,10,457.528,457.528,457.528,0,0,0,0,0,0,371.258,0,0,0,174.234,222.182,466.595,195.317,427.297,457.528,376.517,512.317,442.638,576.673
83,1,5,536.799,637.598,100.799,0,0,536.525,0,536.799,0,371.2,0,536.723,0,148.114,495.247,699.049,305.385,637.598,470.015,442.4,600.935,745.446,561.544
84,90,5,536.905,575.81,38.9051,0,0,536.697,0,536.905,0,0,0,536.432,0,281.8,327.597,623.394,204.774,575.81,562.022,344.928,488.293,700.864,340.037
85,30,3,536.596,683.192,146.596,0,0,536.596,0,536.566,0,371.033,0,536.52,0,320.875,290.504,683.192,161.824,643.131,561.895,434.067,490.915,701.039,345.044
86,50,50,543.101,543.101,543.101,0,0,535.823,0,536.914,0,371.311,0,536.592,0,375.132,396.834,567.646,220.038,551.828,550.241,448.621,543.101,579.183,554.653
87,5,5,485.26,485.26,485.26,0,0,0,0,0,0,371.01,0,0,0,431.354,400.879,426.432,294.271,485.26,474.404,418.02,405.032,452.968,526.53
88,3,70,537.386,620.771,83.3857,0,0,0,0,0,0,371.785,0,537.386,0,300.3,424.804,534.826,395.797,296.641,341.422,373.571,400.962,620.771,331.266
89,3,3,392.368,392.368,392.368,0,0,0,0,0,0,371.594,0,0,0,291.298,446.469,392.368,264.257,493.16,321.145,427.188,403.442,410.163,485.391
90,50,70,537.023,570.047,33.0234,0,0,0,0,0,0,371.199,0,537.023,0,210.484,342.753,367.413,88.5541,432.41,539.664,380.397,387.389,570.047,458.176
91,70,70,626.729,626.729,626.729,0,0,0,0,536.549,0,371.215,0,537.364,0,429.865,471.07,493.394,232.039,587.098,436.102,440.43,554.519,626.729,430.783
92,1,1,303.037,303.037,303.037,0,0,0,0,0,0,0,0,0,0,303.037,422.556,372.076,197.02,416.602,505.173,264.97,445.258,523.731,568.928
93,70,10,597.309,598.619,1.30935,0,0,536.347,0,0,597.309,371.26,0,0,0,251.24,286.51,692.694,307.863,521.447,598.619,404.52,500.494,510.634,612.76
94,90,90,695.247,695.247,695.247,0,0,536.694,0,537.361,0,0,0,537.338,612.623,334.714,405.314,613.388,210.659,586.722,530.821,351.519,517.481,574.676,695.247
95,1,70,537.164,546.327,9.16373,0,0,0,0,0,0,371.589,0,537.164,0,250.916,489.799,415.591,246.558,495.997,379.128,387.178,456.06,546.327,545.508
96,10,70,537.315,616.63,79.3149,0,0,0,0,0,0,370.97,0,537.315,0,273.527,488.104,387.894,177.015,481.836,398.646,385.94,294.816,616.63,552.84
97,50,5,536.687,541.375,4.68746,0,0,536.66,0,536.687,0,371.413,0,0,0,410.111,480.859,541.319,311.004,541.375,447.049,468.825,450.509,448.091,557.554
98,4,30,371.919,403.837,31.9185,0,0,0,0,0,0,371.919,0,0,0,356.36,360.117,489.361,230.438,414.801,504.812,403.837,294.085,344.484,379.857
99,2,50,636.683,693.365,56.6825,0,0,0,0,0,597.065,0,636.682,536.986,612.856,285.947,383.537,456.19,276.672,509.626,670.129,323.634,693.365,725.971,639.711
100,1,50,637.174,790.348,153.174,598.056,0,536.512,0,536.55,596.959,371.725,637.174,537.299,613.433,606.112,593.093,579.024,549.414,577.1,753.918,567.45,790.348,730.598,656.866
101,90,70,536.47,542.94,6.46996,0,0,0,0,0,0,371.048,0,536.47,0,346.632,356.981,336.633,297.15,336.644,335.123,454.096,401.986,542.94,411.206
102,2,2,258.875,258.875,258.875,0,0,0,0,0,0,0,0,0,0,246.015,258.875,332.586,247.315,305.478,280.253,284.27,381.298,284.193,416.03
103,50,50,338.328,338.328,338.328,0,0,0,0,0,0,0,0,0,0,226.217,111.969,293.819,157.644,294.289,539.888,329.5,338.328,512.953,360.747
104,90,10,596.898,655.795,58.8977,0,0,0,0,0,596.898,0,0,536.871,0,331.197,272.635,496.127,262.631,398.362,655.795,306.272,399.464,607.743,407.683
105,1,1,186.44,186.44,186.439,0,0,0,0,0,0,0,0,0,0,186.439,170.966,304.721,168.96,194.641,242.254,263.913,308.157,372.805,269.855
106,50,50,338.427,338.427,338.427,0,0,0,0,0,0,0,0,0,0,132.472,334.921,388.621,167.873,348.555,366.726,328.287,338.427,418.066,258.663
107,70,70,510.662,510.662,510.662,0,0,0,0,0,0,371.091,0,0,0,249.249,336.805,472.446,177.079,516.649,296.538,528.182,494.182,510.662,506.738
108,5,5,624.775,624.775,624.776,0,0,536.221,0,537.388,0,371.927,0,0,0,217.795,332.955,538.442,386.282,624.776,517.601,379.854,503.856,417.787,494.614
109,30,10,371.799,407.599,35.7993,0,0,0,0,0,371.799,0,0,0,0,64.5623,98.0527,221.44,121.105,306.116,407.599,274.991,316.505,381.587,392.544
110,30,30,365.134,365.134,365.134,0,0,0,0,0,0,0,0,0,0,65.9051,130.552,165.097,116.623,275,292.511,365.134,340.12,442.221,286.748
111,30,30,197.25,197.25,197.25,0,0,0,0,0,0,0,0,0,0,126.58,220.983,223.212,63.2393,443.573,487.931,197.25,282.676,477.994,346.706
112,30,50,636.447,658.894,22.447,0,363.744,536.266,0,537.19,612.657,0,636.447,537.255,613.111,219.204,573.488,582.531,276.126,644.381,615.314,434.168,658.894,608.511,654.222
113,70,70,381.581,381.581,381.581,0,0,0,0,0,0,0,0,0,0,299.613,402.706,398.62,294.414,437.522,498.323,328.461,382.367,381.581,493.823
114,70,70,466.133,466.133,466.133,0,0,0,0,0,0,0,0,0,0,194.423,358.778,342.149,169.989,484.944,514.669,329.334,515.393,466.133,460.357
115,90,90,550.004,550.004,550.004,0,0,362.9,0,0,363.091,0,0,536.79,363.002,365.948,457.509,443.799,109.618,466.077,558.182,309.004,578.588,727.581,550.004
116,4,5,537.137,554.275,17.1375,0,0,451.615,0,537.138,452.169,0,0,537.136,363.574,451.366,326.291,675.229,189.605,554.275,796.338,392.583,410.506,588.272,435.148
117,90,3,613.276,808.553,195.276,0,342.163,613.276,0,536.584,537.167,0,0,536.96,0,580.691,510.326,808.553,298.17,693.169,810.335,350.617,511.021,673.919,398.198
118,3,70,537,563.999,26.9997,0,0,0,0,536.421,0,0,363.622,537,375.688,373.601,185.052,386.903,239.537,562.842,524.641,508.252,613.244,563.999,507.376
119,4,50,451.869,563.737,111.869,0,0,341.995,0,0,376.426,376.332,451.869,0,341.828,250.137,138.436,407.99,196.557,527.417,562.852,412.665,563.737,464.37,393.655
120,3,3,419.983,419.983,419.983,0,0,0,0,0,341.461,0,0,0,334.719,208.974,91.1826,419.983,183.024,383.781,376.922,212.88,316.869,371.705,435.437
121,3,3,330.948,330.948,330.948,0,0,0,0,0,0,0,0,0,0,124.629,82.3097,330.948,63.2393,269.23,233.424,237.572,396.891,387.659,233.424
122,30,70,537.176,558.353,21.1764,0,0,474.223,0,375.499,335.249,0,0,537.176,0,119.389,279.647,536.446,137.488,492.998,348.499,281.605,468.365,558.353,299.285
123,10,50,376.201,436.402,60.2008,0,0,334.52,0,341.809,324.098,0,376.201,0,0,113.49,249.637,349.04,157.697,611.617,364.196,337.962,436.402,518.687,421.129
124,50,70,536.471,622.941,86.4705,0,0,324.565,0,473.613,0,0,0,536.471,0,344.522,194.485,609.129,269.322,531.225,293.561,319.332,341.439,622.941,485.299
125,70,3,427.469,500.939,73.4693,0,0,427.469,0,324.866,0,0,341.507,0,0,308.384,242.279,500.939,255.383,495.731,362.82,397.145,449.015,332.641,380.123
126,1,1,384.283,384.283,384.283,0,0,0,0,0,0,0,0,0,0,384.283,312.048,421.309,171.337,420.928,408.602,351.836,379.951,564.213,484.56
127,30,10,536.614,551.227,14.6135,0,0,457.61,0,458.433,536.614,0,334.572,376.378,0,258.457,299.026,511.221,163.614,464.866,551.227,261.621,401.143,572.756,476.68
128,50,50,590.021,590.021,590.021,0,0,537.31,0,537.03,0,0,427.011,341.442,486.166,311.909,457.72,540.621,220.356,610.06,471.351,398.177,590.021,556.883,560.332
129,2,10,543.269,576.538,33.269,0,0,537.519,0,0,543.269,0,0,474.17,537.842,280.508,365.274,603.038,167.505,509.767,576.538,388.357,234.153,524.34,567.684
130,90,90,489.617,489.617,489.617,0,0,0,0,0,0,0,457.567,335.074,392.809,235.82,152.106,408.666,149.642,309.121,353.416,364.635,475.135,430.148,489.617
131,4,90,393.15,404.301,11.1504,0,0,0,0,0,0,0,0,324.98,393.15,132.075,222.317,229.735,94.5576,284.315,401.623,284.295,377.265,369.96,404.301
132,70,70,581.652,581.652,581.652,0,0,0,0,0,0,0,537.002,426.826,0,199.9,288.773,365.671,153.172,383.89,485.98,363.789,614.003,581.652,289.993
133,2,70,427.032,484.064,57.032,0,0,0,0,0,392.976,0,0,427.032,0,244.656,266.969,370.115,72.3354,486.755,577.952,324.15,443.227,484.064,423.385
134,3,3,566.881,566.881,566.881,0,0,0,0,303.878,537.522,303.855,0,427.033,0,302.229,469.519,566.881,68.9486,519.756,639.043,431.711,426.175,440.067,551.483
135,50,50,705.669,705.669,705.669,0,0,627.6,0,0,627.692,0,537.835,458.156,304.008,251.56,433.592,713.199,212.744,466.634,651.384,541.066,705.669,482.312,368.016
136,90,90,576.767,576.767,576.767,0,0,357.521,0,0,303.84,0,0,0,0,382.396,391.453,715.042,145.603,584.012,539.681,385.965,502.563,518.744,576.767
137,2,3,597.406,656.812,59.4059,0,0,597.406,0,537.598,0,0,393.108,0,0,244.645,302.053,656.812,86.9225,635.197,485.294,270.553,448.215,429.334,491.494
138,70,70,394.004,394.004,394.004,0,0,0,0,0,0,0,0,0,0,161.019,188.053,339.816,86.9225,362.498,452.319,288.66,358.226,394.004,428.967
139,5,90,537.452,602.903,65.4517,0,0,0,0,372.736,0,0,0,0,537.452,200.266,165.195,427.75,187.406,395.472,472.972,367.466,272.392,321.789,602.903
140,4,50,303.357,356.715,53.3573,0,0,0,0,0,0,0,303.357,0,0,164.564,229.595,435.856,195.282,342.424,468.227,272.331,356.715,528.216,360.907
141,10,10,547.962,547.962,547.962,0,0,538.17,0,0,371.981,0,303.977,486.175,0,295.82,398.507,666.34,257.615,432.803,547.962,381.116,427.955,528.35,438.776
142,30,70,392.957,485.915,92.9573,0,0,0,0,0,372.773,0,0,392.957,372.579,320.679,336.268,528.928,209.128,368.936,395.545,355.8,386.285,485.915,381.159
143,70,70,433.415,433.415,433.415,0,0,0,0,259.113,0,0,0,392.708,0,117.493,153.351,220.393,117.493,328.226,380.1,228.81,363.036,433.415,209.981
144,2,70,393.071,432.141,39.0705,0,186.526,0,0,0,0,0,0,393.071,0,132.217,209.053,269.842,168.849,216.557,295.182,316.004,387.714,432.141,234.512
145,30,10,536.855,543.711,6.85526,0,0,0,0,0,536.855,0,0,392.526,0,200.82,257.708,408.715,105.539,342.266,543.711,214.894,425.76,447.053,377.078
146,1,70,303.844,461.688,157.844,0,0,0,0,200.428,0,187.078,0,303.844,259.746,180.455,106.939,264.4,178.755,400.855,287.816,204.157,400.839,461.688,329.491
147,30,3,259.494,440.989,181.494,0,0,259.495,0,0,0,0,0,0,0,69.2371,121.723,440.989,119.44,209.58,256.92,192.923,258.71,220.233,320.095
148,10,10,154.007,154.007,154.007,0,0,0,0,0,0,0,0,0,0,59.8837,59.8837,107.939,59.174,95.2448,154.007,170.653,265.981,208.187,189.46
149,3,3,372.768,372.768,372.768,0,365.602,338.384,0,372.221,0,0,259.557,0,286.115,182.497,405.205,372.768,134.432,532.442,165.944,256.693,405.113,417.904,572.23
150,70,70,612.946,612.946,612.946,0,200.775,338.739,0,365.562,186.731,372.151,0,537.473,339.373,360.404,401.55,529.477,145.701,605.124,369.462,390.302,400.207,612.946,574.746
151,4,70,537.525,657.051,119.525,197.569,0,0,0,276.441,338.975,0,259.905,537.525,511.016,269.138,403.752,378.515,381.246,552.883,495.951,477.355,519.809,657.051,530.031
152,50,50,558.727,558.727,558.727,0,0,272.883,0,0,0,0,511.364,537.683,0,264.159,256.444,545.766,229.352,276.613,498.429,342.45,558.727,625.366,466.77
153,10,10,669.662,669.662,669.662,0,0,339.225,0,0,624.831,0,0,372.448,372.022,213.154,256.886,468.45,240.036,231.483,669.662,372.261,319.462,560.896,454.044
154,10,10,418.835,418.835,418.835,0,0,0,0,0,0,0,0,0,0,249.383,245.242,369.286,120.252,323.827,418.835,269.204,351.08,360.441,342.468
155,5,5,286.356,286.356,286.356,0,0,0,0,0,0,0,0,0,197.795,209.393,200.151,394.505,145.589,286.356,413.694,426.162,364.043,586.593,357.589
156,4,3,372.573,561.146,188.573,0,0,372.573,0,0,0,0,366.009,319.186,0,241.513,199.478,561.146,261.762,446.706,363.58,411.228,634.018,638.372,615.579
157,90,90,565.927,565.927,565.927,0,0,0,0,0,206.579,0,198.004,339.076,381.963,159.282,142.313,366.601,159.282,313.931,413.158,311.262,368.008,372.153,565.927
158,3,3,472.817,472.817,472.817,0,0,365.408,0,0,0,452.677,0,0,382.327,218.715,313.582,472.817,123.951,315.344,255.645,465.353,280.899,513.73,384.654
159,50,50,537.563,537.563,537.563,0,0,365.468,0,452.866,382.133,420.042,466.781,259.641,466.34,310.937,158.293,524.935,181.601,585.733,520.267,428.083,537.563,519.282,482.679
160,70,50,466.931,557.862,90.931,0,0,218.216,0,420.665,0,331.061,466.931,339.275,0,314.865,234.228,436.431,150.732,537.329,428.679,476.123,557.862,442.55,445.301
161,50,50,431.455,431.455,431.455,0,0,0,0,331.922,0,0,0,0,0,245.806,283.835,444.827,77.2666,491.844,502.153,411.654,431.455,452.705,455.766
